"Year","Gross Domestic Product (GDP)"
"2018","382674360648.245"
"2017","335663114185.66"
"2016","300523297602.345"
"2015","291499811992.738"
"2014","258471885130.304"
"2013","238543538776.684"
"2012","224999483976.367"
"2011","237472361872.56"
"2010","222148761286.279"
"2009","236302171406.651"
"2008","275049084419.685"
"2007","269904089874.938"
"2006","232071579140.449"
"2005","211643770536.736"
"2004","193879540242.002"
"2003","164277880985.778"
"2002","127955380509.183"
"2001","109134277331.746"
"2000","99852881341.6856"
"1999","98689201299.5883"
"1998","90082029875.3758"
"1997","82828712306.9772"
"1996","75878495772.0258"
"1995","69224579726.4587"
"1994","57167210293.6681"
"1993","52478468174.2796"
"1992","55989142524.1279"
"1991","49848069522.3077"
"1990","49366684939.8452"
"1989","39287347300.4038"
"1988","37816237986.6811"
"1987","33960032182.0206"
"1986","28749619823.6043"
"1985","21295780949.8486"
"1984","20130705884.3098"
"1983","20790302776.2082"
"1982","21500261606.3209"
"1981","20695316507.458"
"1980","21773477061.2002"
"1979","18341642596.6675"
"1978","14666109031.1435"
"1977","11261729173.9044"
"1976","9464787116.09514"
"1975","9495597935.38361"
"1974","7905754599.33721"
"1973","7490563149.80092"
"1972","6325739447.72302"
"1971","5104736348.30407"
"1970","4401609459.19308"

